,Valeurs_Manquantes,Count (non nulles),Somme,Minimum,Maximum,Moyenne
alpha-linolenic-acid_100g,4428042.0,485.0,9214112752.041376,0.0,9214111715.0,18998170.622765724
eicosapentaenoic-acid_100g,4428446.0,81.0,173.66379999999998,0.0,117.5,2.143997530864197
docosahexaenoic-acid_100g,4428401.0,126.0,118.07146177775714,0.0,25.2,0.937075093474263
linoleic-acid_100g,4428326.0,201.0,514.9315956524064,0.0,54.0,2.5618487345890864
arachidonic-acid_100g,4428422.0,105.0,250.7659978285866,0.0,80.3571428571429,2.3882475983674913
gamma-linolenic-acid_100g,4428524.0,3.0,11.80001,1e-05,10.0,3.933336666666667
dihomo-gamma-linolenic-acid_100g,4428524.0,3.0,3.9,0.0,2.8,1.3
oleic-acid_100g,4428490.0,37.0,670.6852424242422,0.0,123.333333333333,18.12662817362817
elaidic-acid_100g,4428525.0,2.0,0.06005,5e-05,0.06,0.030025
gondoic-acid_100g,4428517.0,10.0,1.562005857385399,0.0,1.0,0.1562005857385399
mead-acid_100g,4428521.0,6.0,0.0280133,0.0,0.024,0.0046688833333333336
erucic-acid_100g,4428526.0,1.0,0.0,0.0,0.0,0.0
nervonic-acid_100g,4428519.0,8.0,26.100001100000004,0.0,14.0,3.2625001375000005
trans-fat_100g,4388168.0,40359.0,13883.58872712465,0.0,10000.0,0.34400229755753736
cholesterol_100g,4309802.0,118725.0,10005990.269439917,-4.531640625,10000000.0,84.27871357708922
carbohydrates_100g,3991536.0,436991.0,12110577.875113918,-0.11478,7142.85714285714,27.713563609122197
sugars_100g,4002147.0,426380.0,10005349900.310368,-0.0873,10000000000.0,23465.804916530717
added-sugars_100g,4174357.0,254170.0,100002130432.14783,-22.5201836734694,100000000000.0,393445.84503343364
sucrose_100g,4348325.0,80202.0,599775.4999413319,-3.63125,99.8,7.478311013956409
glucose_100g,4348125.0,80402.0,76134.75391660638,-5.875,55.0,0.9469261202035568
fructose_100g,4348142.0,80385.0,115700.23655213098,-5.875,101.4,1.4393261995662248
galactose_100g,4349401.0,79126.0,5908.396823099059,-9.84375,10.0,0.07467073810250813
lactose_100g,4347908.0,80619.0,70368.61065588091,-9.375,112.0,0.8728539259465004
maltose_100g,4348385.0,80142.0,15313.794490760672,-5.875,36.0,0.1910832583509355
maltodextrins_100g,4428434.0,93.0,288.9532122919176,0.0,188.0,3.1070237880851357
psicose_100g,4428513.0,14.0,216.12191791139318,2.66666666666667,27.027027027027,15.437279850813798
starch_100g,4333562.0,94965.0,879003.7044316586,-2.953125,244.444444444444,9.256080707962498
polyols_100g,4344677.0,83850.0,96069.2655643637,-8.0078125,333.333333333333,1.1457276751862098
erythritol_100g,4428477.0,50.0,378.39500848916987,0.0,100.0,7.567900169783397
isomalt_100g,4428527.0,0.0,0.0,inf,-inf,
maltitol_100g,4428521.0,6.0,120.542857142857,0.6,107.142857142857,20.090476190476167
sorbitol_100g,4428525.0,2.0,110.17142857142899,6.6,103.571428571429,55.085714285714495
fiber_100g,4195587.0,232940.0,10737524.536653437,-0.424095833333335,10000000.0,46.09566642334265
soluble-fiber_100g,4427805.0,722.0,2219.0119818712265,0.0,70.0,3.0734237976055767
polydextrose_100g,4428525.0,2.0,10.5,4.0,6.5,5.25
insoluble-fiber_100g,4427964.0,563.0,3371.4968410091906,0.0,90.0,5.988449095931067
proteins_100g,3991116.0,437411.0,1003940642.3724704,0.0,1000000000.0,2295.188375172253
casein_100g,4428512.0,15.0,19.649400000000004,0.0,8.4,1.3099600000000002
serum-proteins_100g,4428498.0,29.0,1077.966311723809,0.0,633.333333333333,37.171252128407204
nucleotides_100g,4428518.0,9.0,151.0025,0.0,75.3,16.778055555555554
salt_100g,4013061.0,415466.0,1056069.3234777588,-0.179538557970063,250000.0,2.5418910897107314
added-salt_100g,4428482.0,45.0,29.499961315280466,0.0,10.4,0.6555546958951215
sodium_100g,4013061.0,415466.0,423584.62370726396,-0.071610357293855,100000.0,1.0195410062610755
alcohol_100g,4338334.0,90193.0,500000039346.8883,-2.57013725490195,500000000000.0,5543667.90490269
vitamin-a_100g,4327863.0,100664.0,23265.328449929668,-4.65625,4633.33333333333,0.23111865661934422
beta-carotene_100g,4349734.0,78793.0,8496.532187590043,-9.3625,93.0,0.10783359165903117
vitamin-d_100g,4333036.0,95491.0,7259.915995628833,-9.9125,142.222222222222,0.07602722765107532
vitamin-e_100g,4333353.0,95174.0,2802.060991349399,-3.532,60.0,0.02944145450805261
vitamin-k_100g,4414397.0,14130.0,124.67016637354004,0.0,120.5,0.008823083253612175
vitamin-c_100g,4324106.0,104421.0,3909.7304341801187,-9.228,133.5,0.03744199379607664
vitamin-b1_100g,4348624.0,79903.0,4508.65168279409,-2.4375,9.99,0.056426563242858094
vitamin-b2_100g,4348560.0,79967.0,7157.593780799087,-5.02309375,9.998,0.08950684383306973
vitamin-pp_100g,4345430.0,83097.0,5089.102837141662,-6.9,16.0,0.06124291896388152
vitamin-b6_100g,4344700.0,83827.0,5080.055572889935,-4.375,10.0,0.060601662625287024
vitamin-b9_100g,4349142.0,79385.0,6335.732937711373,-2.409375,10.0,0.07981020265429707
folates_100g,4427363.0,1164.0,1489.4938390768746,0.0,619.5,1.279633882368449
vitamin-b12_100g,4348800.0,79727.0,5896.358563062296,-9.18984375,10.78,0.07395685982242271
biotin_100g,4428046.0,481.0,141.63847948896546,0.0,50.0,0.2944666933242525
pantothenic-acid_100g,4347806.0,80721.0,3050.7514817952188,-4.5,18.8,0.03779377710626998
silica_100g,4428449.0,78.0,112.64546769496916,0.0,80.0,1.4441726627560147
bicarbonate_100g,4428240.0,287.0,214.97549650258537,0.0,100.0,0.749043541820855
potassium_100g,4318026.0,110501.0,42369.13756782185,-0.0223854959542414,745.833333333333,0.3834276392776703
chloride_100g,4423253.0,5274.0,2167.255634124206,-0.0010208333333333,1563.63636363636,0.4109320504596523
calcium_100g,4305863.0,122664.0,22811.74179811037,-0.0013003580389499,1171.42857142857,0.18596932920914344
phosphorus_100g,4332582.0,95945.0,12035.224981921176,-0.0020331875,127.272727272727,0.12543879287009407
iron_100g,4305323.0,123204.0,11948.671586724276,-7.72655,10000.0,0.09698282187854515
